time,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39
1.000000000000000056e-01,7.993110029073938527e+00,8.005082332005390100e+00,8.013201511020339396e+00,8.012577588697057607e+00,8.008154676451615828e+00,8.002514300265840319e+00,7.988062426392204429e+00,7.997314367357965637e+00,7.998743602308016065e+00,7.995192002658544794e+00,7.990076035685350853e+00,7.990782879690045526e+00,8.003334799456380821e+00,8.013846478029746478e+00,8.001795373273868250e+00,7.998729155919150458e+00,7.997794694268265836e+00,8.005352314364742483e+00,8.006463731540266693e+00,8.001185049451979836e+00,7.996588791301953769e+00,7.998666439349576329e+00,8.012136071499533330e+00,7.999127869505920252e+00,7.973943388706033808e+00,7.991985193826131706e+00,8.017661485434373958e+00,8.014862519761235760e+00,7.993931762470596780e+00,7.992777567777811676e+00,8.011774358004529972e+00,7.997397807711132067e+00,7.978925408463614311e+00,8.022278464121596286e+00,8.041703691529214382e+00,7.997581414104629083e+00,7.985882790058264291e+00,8.012659474230970247e+00,8.023952092274608816e+00,8.006387419757249546e+00
1.100000000000000006e-01,7.991642170743262774e+00,8.005700467308386692e+00,8.014682206742332227e+00,8.012633413802408455e+00,8.007083060402708341e+00,8.000503927929276671e+00,7.987350924427687460e+00,7.997144481325880072e+00,7.999330894934361780e+00,7.994650762447667702e+00,7.989550209460796637e+00,7.991618720809852583e+00,8.005240975162504213e+00,8.014534927701635780e+00,8.001283592027689906e+00,7.997448886043457605e+00,7.998142444910265603e+00,8.005972607538918595e+00,8.006626574994507806e+00,8.000428382650634163e+00,7.996031068772854411e+00,7.999582320166109817e+00,8.012159362709248001e+00,7.997077284304952016e+00,7.972664582259020527e+00,7.993739613001004329e+00,8.020788409681172126e+00,8.014721939764338998e+00,7.991876489832006492e+00,7.992614728535722968e+00,8.011971442835852386e+00,7.996371292466116110e+00,7.980097336614027981e+00,8.025654574520867612e+00,8.042611383556589999e+00,7.994472554603785142e+00,7.983757211824713096e+00,8.014805793711238024e+00,8.025365719431652778e+00,8.004620946859260400e+00
1.199999999999999956e-01,7.990136246337214310e+00,8.006585900663647948e+00,8.016265393698303043e+00,8.012532601198977034e+00,8.005738233154080064e+00,7.998462372160449085e+00,7.986737681539803013e+00,7.997184308167957667e+00,7.999921111158202258e+00,7.994079369688961378e+00,7.989056783024582664e+00,7.992644805539489639e+00,8.007218764614847828e+00,8.015091777246174942e+00,8.000519456933185225e+00,7.996163193701174343e+00,7.998591045104799235e+00,8.006698183137512359e+00,8.006692501851661703e+00,7.999583902475202457e+00,7.995544740740153422e+00,8.000549582418083006e+00,8.012054775874542401e+00,7.994876660796121470e+00,7.971557527356976536e+00,7.995894949195753831e+00,8.023956237760945243e+00,8.014253000519282466e+00,7.989579072381773450e+00,7.992496745003718317e+00,8.012262909859323656e+00,7.995469470475126350e+00,7.981511138330262156e+00,8.029131756335084802e+00,8.043142605491842900e+00,7.990955334167945345e+00,7.981780799273215266e+00,8.017305849661708450e+00,8.026777546487227966e+00,8.002567492084434519e+00
1.300000000000000044e-01,7.988616768424737558e+00,8.007767487330809786e+00,8.017938046251204653e+00,8.012232104102036345e+00,8.004113690439297102e+00,7.996413537112454506e+00,7.986260372023643583e+00,7.997433067828826125e+00,8.000501981962896636e+00,7.993464617379565595e+00,7.988611040018613885e+00,7.993867248069528308e+00,8.009252517059431753e+00,8.015482657361754804e+00,7.999500723423341064e+00,7.994893137575120434e+00,7.999167651578167337e+00,8.007519334351473006e+00,8.006646289114687676e+00,7.998650615547620468e+00,7.995141321461424866e+00,8.001563927258064979e+00,8.011805962130349457e+00,7.992538933744770091e+00,7.970663550566109201e+00,7.998460116537457587e+00,8.027121404291701623e+00,8.013407165922544095e+00,7.987045473181724198e+00,7.992459822474029529e+00,8.012677335173526316e+00,7.994705245205293132e+00,7.983162077166222836e+00,8.032666903725646179e+00,8.043249416056326595e+00,7.987041837095646635e+00,7.980013122243166279e+00,8.020186381662222530e+00,8.028149382567164594e+00,8.000198363036918892e+00
1.400000000000000133e-01,7.987113635089955643e+00,8.009274793422667571e+00,8.019681592503475898e+00,8.011686551599687789e+00,8.002206434739891350e+00,7.994387597668263901e+00,7.985956460193594175e+00,7.997886720693022866e+00,8.001057376006666999e+00,7.992794887953356131e+00,7.988229710172063847e+00,7.995291698041707917e+00,8.011322722041727573e+00,8.015672986592930371e+00,7.998228456420758192e+00,7.993664425556294084e+00,7.999898300314639776e+00,8.008423301962436014e+00,8.006470727076298033e+00,7.997629384155267473e+00,7.994833105774649340e+00,8.002619822547988093e+00,8.011396952032951546e+00,7.990080663891503399e+00,7.970025321454089706e+00,8.001439089201129562e+00,8.030233555906432841e+00,8.012136550410346558e+00,7.984288506462232426e+00,7.992545873163114045e+00,8.013243153888272019e+00,7.994087673099081748e+00,7.985039606788601141e+00,8.036212717924762217e+00,8.042886184944293859e+00,7.982752710097514637e+00,7.978518705151817159e+00,8.023469296602064205e+00,8.029436146693333498e+00,7.997485372700285033e+00
1.499999999999999944e-01,7.985662656962733585e+00,8.011137555563362156e+00,8.021471338943378271e+00,8.010848550296532977e+00,8.000017915607095631e+00,7.992421058347938256e+00,7.985862598452500016e+00,7.998537204503267439e+00,8.001567516619330078e+00,7.992060553489467090e+00,7.987931197933537675e+00,7.996922895188036229e+00,8.013405914320712142e+00,8.015628317608445741e+00,7.996707679288468817e+00,7.992507254145571061e+00,8.000807369677360725e+00,8.009393792381606758e+00,8.006146907927275791e+00,7.996523235257035900e+00,7.994633204593447395e+00,8.003710395000053879e+00,8.010812383078450338e+00,7.987522191632769442e+00,7.969686371701792282e+00,8.004830132568462986e+00,8.033235594939066360e+00,8.010394934892495655e+00,7.981328756693162774e+00,7.992802306992367711e+00,8.013987744421005033e+00,7.993621084112608521e+00,7.987127166519366384e+00,8.039718304535615090e+00,8.042010765378478254e+00,7.978117760676721737e+00,7.977366287114393550e+00,8.027170478709983570e+00,8.030585618861120878e+00,7.994401731032348302e+00
1.600000000000000033e-01,7.984306041010869492e+00,8.013385026814319190e+00,8.023275885285196196e+00,8.009669109552111976e+00,7.997555007253365211e+00,7.990556727064979547e+00,7.986013898327561478e+00,7.999371696944706400e+00,8.002009283615690194e+00,7.991254448062588445e+00,7.987735751026344033e+00,7.998764187073441612e+00,8.015474593427367012e+00,8.015314770034615677e+00,7.994948006626196424e+00,7.991456071165270458e+00,8.001916962945211154e+00,8.010410540442238769e+00,8.005654584195337264e+00,7.995337704227767794e+00,7.994555545540469765e+00,8.004827315575358426e+00,8.010037734797945674e+00,7.984887755508946583e+00,7.969690541714339993e+00,8.008625038326764312e+00,8.036063846069682270e+00,8.008138912767625683e+00,7.978195450927263010e+00,7.993281660839677727e+00,8.014936383173461465e+00,7.993304221950213062e+00,7.989402108800305768e+00,8.043129929548596735e+00,8.040585715463626215e+00,7.973176420842968959e+00,7.976627900922578895e+00,8.031298556639402619e+00,8.031538331077072712e+00,7.990923069279028290e+00
1.700000000000000122e-01,7.983092809410412549e+00,8.016045199896081996e+00,8.025056543271016807e+00,8.008098202224301687e+00,7.994831014514923062e+00,7.988843584692810751e+00,7.986443076201818592e+00,8.000371917712245207e+00,8.002356614940454804e+00,7.990372403707462823e+00,7.987665559159403017e+00,8.000817006462426662e+00,8.017497169769313814e+00,8.014699550881260848e+00,7.992964252106508738e+00,7.990549249944012722e+00,8.003246216752922138e+00,8.011448928638705169e+00,8.004972605315817447e+00,7.994081205708097215e+00,7.994614832675082994e+00,8.005960676255313047e+00,8.009059571437690650e+00,7.982205570553641216e+00,7.970081356301673026e+00,8.012808375528582161e+00,8.038648361679195276e+00,8.005329159597478039e+00,7.974927259015705872e+00,7.994041049399826626e+00,8.016111077842806409e+00,7.993129428009488890e+00,7.991835779764257630e+00,8.046391934253197320e+00,8.038579544179617287e+00,7.967978048583833406e+00,7.976377770109811749e+00,8.035853649825355660e+00,8.032227622715385706e+00,7.987028594009809801e+00
1.799999999999999933e-01,7.982079129678587570e+00,8.019143900292661442e+00,8.026766775832449241e+00,8.006085472644777212e+00,7.991866695334363335e+00,7.987336531231923331e+00,7.987179477250086812e+00,8.001513486348104109e+00,8.002581022201491479e+00,7.989413839417718322e+00,7.987744771921212461e+00,8.003080306524456233e+00,8.019437950039094432e+00,8.013751562967041053e+00,7.990777000650312267e+00,7.989828663981409562e+00,8.004810543432371972e+00,8.012479675968533499e+00,8.004079439338980251e+00,7.992765422443670609e+00,7.994826458638832456e+00,8.007098856972422851e+00,8.007865792355577383e+00,7.979507861932612300e+00,7.970901331962683578e+00,8.017356770937473343e+00,8.040913381204951804e+00,8.001931816416220755e+00,7.971572994128537815e+00,7.995141422818576871e+00,8.017529291254422930e+00,7.993081895698733064e+00,7.994393773198489761e+00,8.049447805230110831e+00,8.035967953682854770e+00,7.962582040475312262e+00,7.976691027560665503e+00,8.040826119522536786e+00,8.032579884488542987e+00,7.982702363732463446e+00
1.900000000000000022e-01,7.981328530452681314e+00,8.022703743822852118e+00,8.028351675829661360e+00,8.003581102921808466e+00,7.988691284781235247e+00,7.986095989447507648e+00,7.988247983179177503e+00,8.002765354571693024e+00,8.002652232863564308e+00,7.988382390266338007e+00,7.987999423943730193e+00,8.005549953993373435e+00,8.021257175586123722e+00,8.012442100790307720e+00,7.988413132408719086e+00,7.989339152130269461e+00,8.006620816959829412e+00,8.013468610849940887e+00,8.002953785212245208e+00,7.991405701382534588e+00,7.995206362090555352e+00,8.008228382286851854e+00,8.006445890457989378e+00,7.976830849706902704e+00,7.972191219305007515e+00,8.022238233251798079e+00,8.042777958975058539e+00,7.997919972672251632e+00,7.968192184293616975e+00,7.996646618805604234e+00,8.019202571462036744e+00,7.993139024233228085e+00,7.997036376699889537e+00,8.052241391008529092e+00,8.032735045634376903e+00,7.957057730665090034e+00,7.977642263669936895e+00,8.046195353005611395e+00,8.032515014664788566e+00,7.977934676280071358e+00
2.000000000000000111e-01,7.980911975931984870e+00,8.026742955721676509e+00,8.029747506550897640e+00,8.000536847507918381e+00,7.985343502360118251e+00,7.985187347218450249e+00,7.989667811771776762e+00,8.004089334198791761e+00,8.002538970199038815e+00,7.987286561159205434e+00,7.988457254787471484e+00,8.008218082523658410e+00,8.022911128313962692e+00,8.010745631983880344e+00,7.985906284278158296e+00,7.989127865575315290e+00,8.008682514102194006e+00,8.014376543726475788e+00,8.001575279204615754e+00,7.990021444590937882e+00,7.995770823060397881e+00,8.009333768337578263e+00,8.004791219248271972e+00,7.974214680983779502e+00,7.973989185149807923e+00,8.027411537017377086e+00,8.044156773770009039e+00,7.993275230501327933e+00,7.964855484501570437e+00,7.998622199964849244e+00,8.021135107906886219e+00,7.993269903198245707e+00,7.999719226663412286e+00,8.054718251793827832e+00,8.028874455718487013e+00,7.951484054258838974e+00,7.979303916829362464e+00,8.051928612314162237e+00,8.031947109806239382e+00,7.972723550028372408e+00
2.099999999999999922e-01,7.980907771172461196e+00,8.031274051210164799e+00,8.030881329214134112e+00,7.996907244206886034e+00,7.981872521007337795e+00,7.984680220537882178e+00,7.991451218941540979e+00,8.005439744027965432e+00,8.002209879960290095e+00,7.986140386962595095e+00,7.989147410711698427e+00,8.011072410856682424e+00,8.024352319511347531e+00,8.008640660823408197e+00,7.983297233063968434e+00,7.989243489356470995e+00,8.010994824411186599e+00,8.015159255894849011e+00,7.999925296835491473e+00,7.988636480791527994e+00,7.996536188847787052e+00,8.010397361691900642e+00,8.002895269341770756e+00,7.971703306159798608e+00,7.976329939894574395e+00,8.032825683198852929e+00,8.044961131653352027e+00,7.987989327491163749e+00,7.961644898409734772e+00,8.001134070570428136e+00,8.023322237626887343e+00,7.993434961015658757e+00,8.002394185825123074e+00,8.056827122964277166e+00,8.024390377547005571e+00,7.945948956900578786e+00,7.981744523913742562e+00,8.057979981604832531e+00,8.030785410143364444e+00,7.967076276473251895e+00
2.200000000000000011e-01,7.981401270233819290e+00,8.036302380952285773e+00,8.031670745794246002e+00,7.992651007348658077e+00,7.978338872822051897e+00,7.984647520162588386e+00,7.993602117026912701e+00,8.006763201213672687e+00,8.001634610087068111e+00,7.984964077840262853e+00,7.990100015598655681e+00,8.014095533033632535e+00,8.025529777756384320e+00,8.006110668220035365e+00,7.980634182966211299e+00,7.989735332894746023e+00,8.013549744924670648e+00,8.015767621756447525e+00,7.997987849107520475e+00,7.987279401576495630e+00,7.997518523352532327e+00,8.011399172970056881e+00,8.000753955600869105e+00,7.969344296399755834e+00,7.979243816727083605e+00,8.038419454461418923e+00,8.045100171367893793e+00,7.982065790424272222e+00,7.958653778899760667e+00,8.004246870911678968e+00,8.025748929830033518e+00,7.993585811884335257e+00,8.005010453309452600e+00,8.058521466890224971e+00,8.019298434962104594e+00,7.940548537044456623e+00,7.985026853350172260e+00,8.064289449577920266e+00,8.028935516638808778e+00,7.961011015886033881e+00
2.300000000000000100e-01,7.982484359714224986e+00,8.041824548708362386e+00,8.032023788517388851e+00,7.987732605659313201e+00,7.974815263303465684e+00,7.985164306345219565e+00,7.996114626390083302e+00,8.007998584588458257e+00,8.000785046530898725e+00,7.983784625668882029e+00,7.991345598842577225e+00,8.017264190772856125e+00,8.026389452579831385e+00,8.003145120216320407e+00,7.977972938835910632e+00,7.990652285938780963e+00,8.016331177785932738e+00,8.016147882043018313e+00,7.995750568908201572e+00,7.985983844661295628e+00,7.998733173290076159e+00,8.012316709532740333e+00,7.998365916331531267e+00,7.967188599919030167e+00,7.982755810293348020e+00,8.044121084195984039e+00,8.044482278754053084e+00,7.975521587808335866e+00,7.955986577765689738e+00,8.008022151572381730e+00,8.028388281569739604e+00,7.993665336681341493e+00,8.007515912422574544e+00,8.059761081173380859e+00,8.013626360557141837e+00,7.935385913008940584e+00,7.989205948185743367e+00,8.070782165512465411e+00,8.026300892721716096e+00,7.954558401812052537e+00
2.399999999999999911e-01,7.984254691540360938e+00,8.047826712894835310e+00,8.031838990211941365e+00,7.982124023334541185e+00,7.971387262775611049e+00,7.986306417912785172e+00,7.998971581056949276e+00,8.009077199064867258e+00,7.999636704415089561e+00,7.982636344457834099e+00,7.992914369035164945e+00,8.020548541265696940e+00,8.026874750858562280e+00,7.999740534226536859e+00,7.975376945688614327e+00,7.992041638566378836e+00,8.019314051470635363e+00,8.016242085538646478e+00,7.993205780133644467e+00,7.984788704988047492e+00,8.000194245629300482e+00,8.013124813082351139e+00,7.995732826231760626e+00,7.965290235030079380e+00,7.986884583418022210e+00,8.049848059171043957e+00,8.043016713165227927e+00,7.968388744477394425e+00,7.953758316668333883e+00,8.012516334533508200e+00,8.031200061763891895e+00,7.993608033589238993e+00,8.009858715718534583e+00,8.060513724809251102e+00,8.007414438222262731e+00,7.930569813286671987e+00,7.994327111233215710e+00,8.077367909097119991e+00,8.022784658496041388e+00,7.947763114266200191e+00
2.500000000000000000e-01,7.986814641059122977e+00,8.054282788648244207e+00,8.031005672252399918e+00,7.975806697943603751e+00,7.968153840888004602e+00,7.988148864183014730e+00,8.002143013149462192e+00,8.009923171545683118e+00,7.998170269211975381e+00,7.981561314879185964e+00,7.994835323819021511e+00,8.023911437026455928e+00,8.026927222848980747e+00,7.995901589136698462e+00,7.972917174314050115e+00,7.993947766352098583e+00,8.022463488901134809e+00,8.015988716340375575e+00,7.990351638409713075e+00,7.983738253132884211e+00,8.001913991829555428e+00,8.013795509731124866e+00,7.992859724960006851e+00,7.963705918261821282e+00,7.991641451457264900e+00,8.055507076374224695e+00,8.040615444697786884e+00,7.960715877349702652e+00,7.952093754190658892e+00,8.017778472736399209e+00,8.034129345364943831e+00,7.993340673707643340e+00,8.011989100092595351e+00,8.060756717259183191e+00,8.000715668860031826e+00,7.926212895617686272e+00,8.000423868799256155e+00,8.083940815389013324e+00,8.018291678861663385e+00,7.940685375824402925e+00
2.600000000000000089e-01,7.990269969523723148e+00,8.061152572362514590e+00,8.029404488923473693e+00,7.968773623024499209e+00,7.965227707705157201e+00,7.990763970836257890e+00,8.005584645242016961e+00,8.010454109580877002e+00,7.996373277384478229e+00,7.980609700425442377e+00,7.997135188374977055e+00,8.027307738039764828e+00,8.026487414269409371e+00,7.991642261937945690e+00,7.970671832533023249e+00,7.996410684553232784e+00,8.025734048408020627e+00,8.015323522685990909e+00,7.987193328267017556e+00,7.982882139393261411e+00,8.003902096064681615e+00,8.014297881910476207e+00,7.989755363263114418e+00,7.962494626149571708e+00,7.997029354834606529e+00,8.060994175066648282e+00,8.037195196206534220e+00,7.952569607753344982e+00,7.951126227331770657e+00,8.023847824666306749e+00,8.037105284092397994e+00,7.992783295441452829e+00,8.013861416811845828e+00,8.060478459240256299e+00,7.993595621240641158e+00,7.922429807852151562e+00,8.007515953633221883e+00,8.090379396750179808e+00,8.012730939380073636e+00,7.933402319662208768e+00
